fr3_joint1,fr3_joint2,fr3_joint3,fr3_joint4,fr3_joint5,fr3_joint6,fr3_joint7
0.000261,0.000000,0.000000,-1.570000,0.000000,1.570000,0.000000
0.001861,0.000000,0.000000,-1.570000,0.000000,1.570000,0.000000
0.005558,0.000000,0.000000,-1.570000,0.000000,1.570000,0.000000
0.011576,0.000000,0.000000,-1.570000,0.000000,1.570000,0.000000
0.019709,0.000000,0.000000,-1.570000,0.000000,1.570000,0.000000
0.029431,0.000000,0.000000,-1.570000,0.000000,1.570000,0.000000
0.040000,0.000000,0.000000,-1.570000,0.000000,1.570000,0.000000
0.050569,0.000000,0.000000,-1.570000,0.000000,1.570000,0.000000
0.060291,0.000000,0.000000,-1.570000,0.000000,1.570000,0.000000
0.068424,0.000000,0.000000,-1.570000,0.000000,1.570000,0.000000
0.074442,0.000000,0.000000,-1.570000,0.000000,1.570000,0.000000
0.078139,0.000000,0.000000,-1.570000,0.000000,1.570000,0.000000
0.079739,0.000000,0.000000,-1.570000,0.000000,1.570000,0.000000
0.080000,0.000000,0.000000,-1.570000,0.000000,1.570000,0.000000
0.080000,0.000000,0.000000,-1.570000,0.000000,1.570000,0.000000
0.080000,0.000000,0.000000,-1.570000,0.000000,1.570000,0.000000
0.080000,0.000000,0.000000,-1.570000,0.000000,1.570000,0.000000
0.080000,0.000000,0.000000,-1.570000,0.000000,1.570000,0.000000
0.080000,0.000000,0.000000,-1.570000,0.000000,1.570000,0.000000
0.080000,0.000000,0.000000,-1.570000,0.000000,1.570000,0.000000
0.080000,0.000000,0.000000,-1.570000,0.000000,1.570000,0.000000
0.080000,0.000000,0.000000,-1.570000,0.000000,1.570000,0.000000
0.080000,0.000000,0.000000,-1.570000,0.000000,1.570000,0.000000
0.080000,0.000000,0.000000,-1.570000,0.000000,1.570000,0.000000
0.080000,0.000000,0.000000,-1.570000,0.000000,1.570000,0.000000
0.080000,0.000000,0.000000,-1.570000,0.000000,1.570000,0.000000
0.080000,0.000000,0.000000,-1.570000,0.000000,1.570000,0.000000
0.080000,0.000000,0.000000,-1.570000,0.000000,1.570000,0.000000
0.080000,0.000000,0.000000,-1.570000,0.000000,1.570000,0.000000
0.080000,0.000000,0.000000,-1.570000,0.000000,1.570000,0.000000
0.080000,0.000000,0.000000,-1.570000,0.000000,1.570000,0.000000
